Time/t	Open	R	R_t+1	R_t+2	R_t+3	Volume	Scores_t	segment_t
44	163.29	-0.001589728	0.000244963	-0.000612257	-0.00018379	190.68	0.305376344	4
45	163.33	0.000244963	-0.000612257	-0.00018379	-0.000612745	162.6	0.29439314	4
46	163.23	-0.000612257	-0.00018379	-0.000612745	-0.001164929	228.03	0.309251412	4
47	163.2	-0.00018379	-0.000612745	-0.001164929	0.000920754	256.29	0.404456654	4
48	163.1	-0.000612745	-0.001164929	0.000920754	-0.00042929	386.18	0.348596939	4
49	162.91	-0.001164929	0.000920754	-0.00042929	0.001227069	215.51	0.276690141	4
50	163.06	0.000920754	-0.00042929	0.001227069	0.000674061	148.1	0.332411348	4
51	162.99	-0.00042929	0.001227069	0.000674061	0.0000612	162.06	0.351466276	4
52	163.19	0.001227069	0.000674061	0.0000612	0.001347131	297.57	0.31744012	5
53	163.3	0.000674061	0.0000612	0.001347131	0.001161866	238.75	0.339959839	5
54	163.31	0.0000612	0.001347131	0.001161866	-0.000977278	288.23	0.22564276	5
55	163.53	0.001347131	0.001161866	-0.000977278	0.000122279	482.66	0.254026611	5
56	163.72	0.001161866	-0.000977278	0.000122279	-0.001589436	439.33	0.220340587	5
57	163.56	-0.000977278	0.000122279	-0.001589436	-0.003000245	426.52	0.244775391	5
58	163.58	0.000122279	-0.001589436	-0.003000245	0.001596757	356.93	0.204347826	5
59	163.32	-0.001589436	-0.003000245	0.001596757	-0.000797106	580.26	0.276106459	5
60	162.83	-0.003000245	0.001596757	-0.000797106	-0.002270496	351.11	0.281511057	5
61	163.09	0.001596757	-0.000797106	-0.002270496	0.000615044	281.6	0.269477172	5
62	162.96	-0.000797106	-0.002270496	0.000615044	0.001966931	426.14	0.304697712	5
63	162.59	-0.002270496	0.000615044	0.001966931	-0.001288265	236.76	0.291186891	5
64	162.69	0.000615044	0.001966931	-0.001288265	0.001044226	208.85	0.224739336	5
65	163.01	0.001966931	-0.001288265	0.001044226	0.001534025	229.97	0.28832853	5
66	162.8	-0.001288265	0.001044226	0.001534025	-0.000735204	150.17	0.288575152	5
67	162.97	0.001044226	0.001534025	-0.000735204	-0.001103617	319.66	0.261906977	5
68	163.22	0.001534025	-0.000735204	-0.001103617	0.000245519	241.33	0.224354067	5
69	163.1	-0.000735204	-0.001103617	0.000245519	-0.000859107	193.25	0.237367915	5
70	162.92	-0.001103617	0.000245519	-0.000859107	0.000307088	125.08	0.289748369	5
71	162.96	0.000245519	-0.000859107	0.000307088	-0.000184196	150.57	0.259887295	5
72	162.82	-0.000859107	0.000307088	-0.000184196	0.00024564	167.46	0.224208376	5
73	162.87	0.000307088	-0.000184196	0.00024564	0.001412083	127.14	0.226709797	5
