"","time","openingPrice","r","r1","r2","r3","volume","sentimentScore","event","isAboveAverage","event"
"101","02:40",160.58,0.002372035,-0.00249097,0.001685604,0.000311624,804.77,0.18404908,6,FALSE,"iPhoneX"
"102","02:41",160.18,-0.00249097,0.001685604,0.000311624,-0.000685358,244.14,0.220684211,6,FALSE,"iPhoneX"
"103","02:42",160.45,0.001685604,0.000311624,-0.000685358,0.002306877,325.23,0.209279919,6,FALSE,"iPhoneX"
"104","02:43",160.5,0.000311624,-0.000685358,0.002306877,0.000746454,252.23,0.238367129,6,FALSE,"iPhoneX"
"105","02:44",160.39,-0.000685358,0.002306877,0.000746454,0.000372949,286.83,0.243927355,6,FALSE,"iPhoneX"
"106","02:45",160.76,0.002306877,0.000746454,0.000372949,-0.00062135,236.39,0.237863674,6,FALSE,"iPhoneX"
"107","02:46",160.88,0.000746454,0.000372949,-0.00062135,0.000310868,193.98,0.238448276,6,FALSE,"iPhoneX"
"108","02:47",160.94,0.000372949,-0.00062135,0.000310868,-0.001802474,209.24,0.229312289,6,FALSE,"iPhoneX"
"109","02:48",160.84,-0.00062135,0.000310868,-0.001802474,0.002552927,171.31,0.212895377,6,FALSE,"iPhoneX"
"110","02:49",160.89,0.000310868,-0.001802474,0.002552927,-0.004471772,824.31,0.213888889,6,FALSE,"iPhoneX"
"111","02:50",160.6,-0.001802474,0.002552927,-0.004471772,-0.000374322,515.57,0.153270609,7,FALSE,"Ending"
"112","02:51",161.01,0.002552927,-0.004471772,-0.000374322,-0.000748923,481.3,0.150943396,7,FALSE,"Ending"
"113","02:52",160.29,-0.004471772,-0.000374322,-0.000748923,0,489,0.169646018,7,FALSE,"Ending"
"114","02:53",160.23,-0.000374322,-0.000748923,0,0.00212354,221.79,0.197677866,7,FALSE,"Ending"
"115","02:54",160.11,-0.000748923,0,0.00212354,-0.001869741,422.32,0.212254902,8,FALSE,"Post-event"
"116","02:55",160.11,0,0.00212354,-0.001869741,-0.002060568,374.8,0.216830226,8,FALSE,"Post-event"
"117","02:56",160.45,0.00212354,-0.001869741,-0.002060568,0.000813415,334.65,0.249326923,8,FALSE,"Post-event"
"118","02:57",160.15,-0.001869741,-0.002060568,0.000813415,0,463.76,0.305152225,8,TRUE,"Post-event"
"119","02:58",159.82,-0.002060568,0.000813415,0,0,356.23,0.268544304,8,TRUE,"Post-event"
"120","02:59",159.95,0.000813415,0,0,0,393.75,0.236938202,8,FALSE,"Post-event"
